,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
80,Oregon State,Pac-12,7.01,0.07,7.08,111.36,101.36,10.00
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
81,Washington,Pac-12,7.81,-1.06,6.75,111.42,101.27,10.15
82,Southern Mississippi,CUSA,0.39,6.26,6.66,108.35,98.01,10.34
83,North Dakota State,Summit,4.23,2.41,6.63,114.39,103.43,10.95
84,Tulsa,CUSA,3.51,3.11,6.62,104.95,94.67,10.29
85,San Francisco,WCC,5.19,1.35,6.53,111.11,100.61,10.50
86,Georgia State,Sun Belt,5.84,0.56,6.41,113.36,103.02,10.33
87,New Mexico State,WAC,5.22,1.18,6.40,110.02,99.75,10.27
88,St. Bonaventure,A-10,3.92,2.10,6.02,107.73,98.34,9.39
89,Richmond,A-10,-2.01,7.78,5.77,103.35,94.11,9.24
90,Iona,MAAC,12.05,-6.37,5.68,115.46,107.26,8.20
91,Vanderbilt,SEC,-2.65,8.26,5.62,103.42,95.04,8.38
92,Wake Forest,ACC,3.22,2.35,5.58,105.74,97.49,8.26
93,Manhattan,MAAC,5.11,0.46,5.57,103.71,95.88,7.84
94,Texas A&M,SEC,-3.32,8.82,5.50,101.38,93.03,8.35
95,Northern Iowa,MVC,4.60,0.87,5.47,111.71,102.76,8.95
96,South Carolina,SEC,2.11,3.34,5.45,106.24,97.81,8.42
97,Wyoming,MWC,-3.97,9.28,5.31,104.78,96.52,8.25
98,Portland,WCC,5.39,-0.13,5.26,107.92,100.23,7.69
99,Georgia Tech,ACC,0.38,4.87,5.25,103.95,96.08,7.87
100,Utah State,MWC,1.27,3.92,5.19,110.31,102.41,7.91
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
101,Auburn,SEC,4.66,0.42,5.08,108.51,100.64,7.87
102,Northwestern,Big Ten,-7.18,12.26,5.08,98.74,91.89,6.85
103,California-Irvine,Big West,-2.69,7.61,4.92,101.91,93.20,8.71
104,Mercer,A-Sun,3.65,1.21,4.86,107.20,98.87,8.33
105,Texas-El Paso,CUSA,-1.10,5.89,4.78,104.37,96.76,7.61
106,Middle Tennessee,CUSA,-2.14,6.90,4.77,102.48,94.53,7.95
107,Cleveland State,Horizon,1.03,3.73,4.76,107.93,100.09,7.85
108,California-Santa Barbara,Big West,1.37,3.36,4.73,108.95,102.03,6.92
109,Vermont,AEC,-0.94,5.65,4.70,107.10,98.39,8.72
110,Stephen F. Austin,Southland,-0.48,5.13,4.65,108.37,100.44,7.93
111,La Salle,A-10,-0.65,4.89,4.25,103.72,97.05,6.67
112,North Carolina Central,MEAC,-1.23,5.35,4.12,104.48,97.65,6.83
113,Princeton,Ivy,0.16,3.96,4.11,106.21,98.86,7.35
114,Buffalo,MAC (East),3.80,0.18,3.98,106.98,100.49,6.48
115,Hawaii,Big West,7.07,-3.18,3.89,108.80,103.02,5.79
116,Toledo,MAC (West),9.34,-5.47,3.87,113.48,107.37,6.11
117,Fresno State,MWC,5.44,-1.65,3.79,109.05,102.68,6.37
118,Colorado State,MWC,3.68,0.05,3.72,109.66,103.28,6.38
119,Indiana State,MVC,0.79,2.87,3.67,105.21,99.28,5.92
120,Ohio,MAC (East),0.89,2.43,3.32,104.87,99.36,5.52
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
121,Boston College,ACC,3.59,-0.43,3.16,113.32,108.51,4.81
122,Southern California,Pac-12,3.87,-0.71,3.16,103.23,98.14,5.09
123,Rhode Island,A-10,-1.17,4.18,3.02,102.32,97.42,4.90
124,Louisiana-Lafayette,Sun Belt,8.42,-5.48,2.93,107.79,103.63,4.16
125,Delaware,CAA,9.50,-6.66,2.84,108.73,104.67,4.05
126,Temple,AAC,7.29,-4.47,2.82,109.62,105.25,4.37
127,Eastern Michigan,MAC (West),-6.00,8.82,2.81,95.87,91.05,4.82
128,Houston,AAC,4.12,-1.32,2.80,109.04,104.28,4.77
129,San Diego,WCC,-4.12,6.83,2.71,103.33,98.86,4.47
130,Western Michigan,MAC (West),1.49,1.03,2.52,104.09,100.19,3.90
131,Central Florida,AAC,4.47,-2.07,2.40,106.13,102.41,3.72
132,Nevada,MWC,3.78,-1.39,2.39,107.70,103.79,3.91
133,Belmont,OVC (East),7.13,-4.81,2.33,110.98,106.97,4.00
134,Columbia,Ivy,-3.75,6.03,2.27,104.37,99.86,4.52
135,George Mason,A-10,1.16,1.10,2.27,103.35,99.35,4.01
136,DePaul,Big East,3.46,-1.24,2.22,105.60,102.60,3.00
137,Pacific,WCC,3.86,-1.86,2.01,108.34,105.36,2.98
138,Virginia Tech,ACC,-3.73,5.72,1.99,100.03,97.51,2.52
139,Long Beach State,Big West,0.22,1.73,1.95,103.20,100.10,3.11
140,Boston University,Patriot,1.07,0.82,1.89,103.07,99.81,3.26
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
141,Washington State,Pac-12,-5.54,7.43,1.88,100.76,99.25,1.51
142,Akron,MAC (East),-1.60,3.41,1.81,101.79,98.78,3.01
143,Canisius,MAAC,5.36,-3.73,1.63,109.12,106.27,2.85
144,American,Patriot,-7.29,8.91,1.62,101.97,98.34,3.63
145,Drexel,CAA,-0.89,2.29,1.40,102.59,99.83,2.76
146,Santa Clara,WCC,0.59,0.67,1.26,105.81,103.51,2.30
147,Pepperdine,WCC,2.11,-0.87,1.25,105.85,103.38,2.47
148,Denver,Summit,-4.40,5.60,1.21,108.85,106.66,2.20
149,Towson,CAA,0.95,0.16,1.10,107.02,104.60,2.42
150,Illinois State,MVC,0.23,0.86,1.09,99.83,97.36,2.48
151,Missouri State,MVC,-0.03,1.04,1.02,105.00,103.52,1.48
152,Alabama-Birmingham,CUSA,1.96,-1.01,0.95,101.77,99.83,1.94
153,Davidson,Southern,6.13,-5.29,0.84,109.79,107.38,2.41
154,Duquesne,A-10,4.90,-4.10,0.80,108.36,106.77,1.59
155,South Dakota State,Summit,0.97,-0.44,0.53,104.32,102.80,1.52
156,IPFW,Summit,2.40,-2.04,0.36,105.90,104.99,0.92
157,Valparaiso,Horizon,-1.28,1.64,0.35,101.89,100.79,1.10
158,Wright State,Horizon,-6.03,6.17,0.14,98.40,96.93,1.47
159,Eastern Kentucky,OVC (East),2.48,-2.52,-0.03,108.28,107.81,0.47
160,Loyola Marymount,WCC,3.93,-4.00,-0.07,103.89,103.57,0.32
,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
161,Arkansas State,Sun Belt,3.55,-3.72,-0.18,103.18,103.33,-0.15
162,Quinnipiac,MAAC,6.62,-6.80,-0.18,107.05,106.80,0.25
163,Rutgers,AAC,2.02,-2.20,-0.18,104.10,103.72,0.38
164,Nebraska-Omaha,Summit,8.13,-8.49,-0.36,103.21,103.76,-0.54
165,Southern Illinois,MVC,-3.44,3.08,-0.37,103.06,103.46,-0.40
166,South Florida,AAC,-2.13,1.68,-0.45,100.24,100.77,-0.53
167,Drake,MVC,-2.09,1.55,-0.54,103.65,104.24,-0.60
168,Charlotte,CUSA,1.40,-1.99,-0.59,101.25,101.31,-0.06
169,Cal Poly,Big West,-8.81,8.05,-0.76,101.07,101.60,-0.53
170,Mississippi State,SEC,-0.66,-0.11,-0.77,99.92,100.64,-0.73
171,Weber State,Big Sky,-1.21,0.41,-0.81,104.32,105.17,-0.86
172,Texas Christian,Big 12,-3.90,2.99,-0.91,99.48,101.22,-1.74
173,Bucknell,Patriot,-4.62,3.68,-0.94,100.55,100.87,-0.32
174,Holy Cross,Patriot,-3.43,2.24,-1.20,100.78,101.43,-0.65
175,Brown,Ivy,-0.16,-1.12,-1.28,97.58,98.90,-1.32
176,Milwaukee,Horizon,0.21,-1.49,-1.28,101.41,102.68,-1.28
177,Stony Brook,AEC,-0.72,-0.56,-1.28,102.88,103.71,-0.83
178,Kent State,MAC (East),-0.75,-0.64,-1.39,101.92,103.40,-1.47
