Date,Team,Team Score,Opponent,Opponent Score,Team Result
11/26/13,Texas,77,DePaul,59,Win
11/26/13,DePaul,59,Texas,77,Loss
11/26/13,Pittsburgh,88,Stanford,67,Win
11/26/13,Stanford,67,Pittsburgh,88,Loss
11/26/13,Charleston So,105,Trinity Bap,58,Win
11/26/13,Trinity Bap,58,Charleston So,105,Loss
11/26/13,St Bonaventure,70,Wagner,67,Win
11/26/13,Wagner,67,St Bonaventure,70,Loss
11/26/13,S Dakota St,74,Lehigh,61,Win
11/26/13,Lehigh,61,S Dakota St,74,Loss
11/26/13,TX Southern,63,Howard,54,Win
11/26/13,Howard,54,TX Southern,63,Loss
11/26/13,San Diego,83,UNC Greensboro,71,Win
11/26/13,UNC Greensboro,71,San Diego,83,Loss
11/26/13,Arkansas,87,Minnesota,73,Win
11/26/13,Minnesota,73,Arkansas,87,Loss
11/26/13,Wichita St,75,BYU,62,Win
11/26/13,BYU,62,Wichita St,75,Loss
11/26/13,Baylor,67,Dayton,66,Win
11/26/13,Dayton,66,Baylor,67,Loss
11/26/13,S Illinois,67,Stetson,48,Win
11/26/13,Stetson,48,S Illinois,67,Loss
11/26/13,Metro St,83,Canisius,69,Win
11/26/13,Canisius,69,Metro St,83,Loss
11/26/13,Louisiana Tech,103,IL Chicago,78,Win
11/26/13,IL Chicago,78,Louisiana Tech,103,Loss
11/26/13,Norfolk St,105,Stillman,83,Win
11/26/13,Stillman,83,Norfolk St,105,Loss
11/26/13,East Carolina,81,UNC Asheville,70,Win
11/26/13,UNC Asheville,70,East Carolina,81,Loss
11/26/13,Texas A&M,88,Ark Pine Bluff,55,Win
11/26/13,Ark Pine Bluff,55,Texas A&M,88,Loss
11/26/13,Bowling Green,67,Presbyterian,45,Win
11/26/13,Presbyterian,45,Bowling Green,67,Loss
11/26/13,Wisconsin,63,St Louis,57,Win
11/26/13,St Louis,57,Wisconsin,63,Loss
11/26/13,St John's,65,Longwood,47,Win
11/26/13,Longwood,47,St John's,65,Loss
11/26/13,Central Conn,74,NJIT,71,Win
11/26/13,NJIT,71,Central Conn,74,Loss
11/26/13,Oral Roberts,67,Ga Southern,65,Win
11/26/13,Ga Southern,65,Oral Roberts,67,Loss
11/26/13,Ark Little Rock,90,S Arkansas,58,Win
11/26/13,S Arkansas,58,Ark Little Rock,90,Loss
11/26/13,Belmont,102,Brescia,68,Win
11/26/13,Brescia,68,Belmont,102,Loss
11/26/13,West Virginia,78,Old Dominion,60,Win
11/26/13,Old Dominion,60,West Virginia,78,Loss
11/26/13,C Michigan,68,TAM C. Christi,64,Win
11/26/13,TAM C. Christi,64,C Michigan,68,Loss
11/26/13,Albany NY,70,Rider,59,Win
11/26/13,Rider,59,Albany NY,70,Loss
11/26/13,NC State,82,FL Gulf Coast,62,Win
11/26/13,FL Gulf Coast,62,NC State,82,Loss
11/26/13,Ohio,76,Mercer,67,Win
11/26/13,Mercer,67,Ohio,76,Loss
11/26/13,Georgia Tech,76,MS Valley St,59,Win
11/26/13,MS Valley St,59,Georgia Tech,76,Loss
11/26/13,Boston College,75,Sacred Heart,67,Win
11/26/13,Sacred Heart,67,Boston College,75,Loss
11/26/13,Penn St,84,Monmouth NJ,52,Win
11/26/13,Monmouth NJ,52,Penn St,84,Loss
11/26/13,Marshall,74,W Kentucky,64,Win
11/26/13,W Kentucky,64,Marshall,74,Loss
11/26/13,Cincinnati,79,MA Lowell,49,Win
11/26/13,MA Lowell,49,Cincinnati,79,Loss
11/26/13,Penn,85,Niagara,66,Win
11/26/13,Niagara,66,Penn,85,Loss
11/26/13,Virginia,69,Hampton,40,Win
11/26/13,Hampton,40,Virginia,69,Loss
11/26/13,Nicholls St,79,UT San Antonio,73,Win
11/26/13,UT San Antonio,73,Nicholls St,79,Loss
11/26/13,North Florida,65,Savannah St,61,Win
11/26/13,Savannah St,61,North Florida,65,Loss
11/26/13,St Peter's,70,Binghamton,57,Win
11/26/13,Binghamton,57,St Peter's,70,Loss
11/26/13,Navy,67,MD E Shore,59,Win
11/26/13,MD E Shore,59,Navy,67,Loss
11/26/13,NC Central,101,Barber-Scotia,46,Win
11/26/13,Barber-Scotia,46,NC Central,101,Loss
11/26/13,W Michigan,99,Oakland,88,Win
11/26/13,Oakland,88,W Michigan,99,Loss
11/26/13,Indiana,77,Evansville,46,Win
11/26/13,Evansville,46,Indiana,77,Loss
11/26/13,Princeton,71,George Mason,66,Win
11/26/13,George Mason,66,Princeton,71,Loss
11/26/13,Towson,75,UMBC,60,Win
11/26/13,UMBC,60,Towson,75,Loss
11/26/13,Auburn,78,Tennessee St,73,Win
11/26/13,Tennessee St,73,Auburn,78,Loss
11/26/13,Fordham,79,Manhattan,75,Win
11/26/13,Manhattan,75,Fordham,79,Loss
11/26/13,Connecticut,76,Loyola MD,66,Win
11/26/13,Loyola MD,66,Connecticut,76,Loss
11/26/13,Mt St Mary's,69,Bucknell,64,Win
11/26/13,Bucknell,64,Mt St Mary's,69,Loss
11/26/13,Tennessee Tech,98,ETSU,83,Win
11/26/13,ETSU,83,Tennessee Tech,98,Loss
11/26/13,Mississippi,84,NC A&T,50,Win
11/26/13,NC A&T,50,Mississippi,84,Loss
11/26/13,Columbia,61,American Univ,47,Win
11/26/13,American Univ,47,Columbia,61,Loss
11/26/13,UNC Wilmington,72,Campbellsville,55,Win
11/26/13,Campbellsville,55,UNC Wilmington,72,Loss
11/26/13,Buffalo,81,Robert Morris,66,Win
11/26/13,Robert Morris,66,Buffalo,81,Loss
11/26/13,Virginia Tech,75,Furman,54,Win
11/26/13,Furman,54,Virginia Tech,75,Loss
11/26/13,Yale,79,Lafayette,76,Win
11/26/13,Lafayette,76,Yale,79,Loss
11/27/13,Minnesota,83,Chaminade,68,Win
11/27/13,Chaminade,68,Minnesota,83,Loss
11/27/13,TCU,73,AK Anchorage,70,Win
11/27/13,AK Anchorage,70,TCU,73,Loss
11/27/13,UNC Greensboro,75,Stetson,68,Win
11/27/13,Stetson,68,UNC Greensboro,75,Loss
11/27/13,San Diego,59,S Illinois,56,Win
11/27/13,S Illinois,56,San Diego,59,Loss
11/27/13,Ga Southern,76,Presbyterian,66,Win
11/27/13,Presbyterian,66,Ga Southern,76,Loss
11/27/13,Portland,86,San Jose St,69,Win
11/27/13,San Jose St,69,Portland,86,Loss
11/27/13,Utah,88,Ball St,69,Win
11/27/13,Ball St,69,Utah,88,Loss
11/27/13,Vermont,87,Illinois St,76,Win
11/27/13,Illinois St,76,Vermont,87,Loss
11/27/13,Hawaii,91,New Orleans,58,Win
11/27/13,New Orleans,58,Hawaii,91,Loss
11/27/13,Tulsa,63,Indiana St,62,Win
11/27/13,Indiana St,62,Tulsa,63,Loss
11/27/13,Louisiana Tech,76,St Bonaventure,72,Win
11/27/13,St Bonaventure,72,Louisiana Tech,76,Loss
11/27/13,Dayton,82,California,64,Win
11/27/13,California,64,Dayton,82,Loss
11/27/13,Wisconsin,70,West Virginia,63,Win
11/27/13,West Virginia,63,Wisconsin,70,Loss
11/27/13,Syracuse,74,Baylor,67,Win
11/27/13,Baylor,67,Syracuse,74,Loss
11/27/13,Duke,74,Alabama,64,Win
11/27/13,Alabama,64,Duke,74,Loss
11/27/13,Gonzaga,91,Arkansas,81,Win
11/27/13,Arkansas,81,Gonzaga,91,Loss
11/27/13,Oral Roberts,63,Bowling Green,56,Win
11/27/13,Bowling Green,56,Oral Roberts,63,Loss
11/27/13,IL Chicago,94,Wagner,76,Win
11/27/13,Wagner,76,IL Chicago,94,Loss
11/27/13,Arizona,66,Drexel,62,Win
11/27/13,Drexel,62,Arizona,66,Loss
11/27/13,St Louis,62,Old Dominion,52,Win
11/27/13,Old Dominion,52,St Louis,62,Loss
11/27/13,St Francis NY,83,Mt St Vincent,54,Win
11/27/13,Mt St Vincent,54,St Francis NY,83,Loss
11/27/13,Richmond,83,Air Force,60,Win
11/27/13,Air Force,60,Richmond,83,Loss
11/27/13,Colorado St,66,Bethune-Cookman,52,Win
11/27/13,Bethune-Cookman,52,Colorado St,66,Loss
11/27/13,Kent,83,Youngstown St,79,Win
11/27/13,Youngstown St,79,Kent,83,Loss
11/27/13,Kentucky,81,E Michigan,63,Win
11/27/13,E Michigan,63,Kentucky,81,Loss
11/27/13,William & Mary,97,VMI,67,Win
11/27/13,VMI,67,William & Mary,97,Loss
11/27/13,Campbell,62,St Andrew's,55,Win
11/27/13,St Andrew's,55,Campbell,62,Loss
11/27/13,Jacksonville St,78,Fort Valley St,66,Win
11/27/13,Fort Valley St,66,Jacksonville St,78,Loss
11/27/13,Mississippi St,58,Jackson St,56,Win
11/27/13,Jackson St,56,Mississippi St,58,Loss
11/27/13,Boise St,98,Idaho,89,Win
11/27/13,Idaho,89,Boise St,98,Loss
11/27/13,TN Martin,95,Bethel TN,82,Win
11/27/13,Bethel TN,82,TN Martin,95,Loss
11/27/13,TX Pan American,66,Lamar,61,Win
11/27/13,Lamar,61,TX Pan American,66,Loss
11/27/13,ULL,105,Northwestern LA,74,Win
11/27/13,Northwestern LA,74,ULL,105,Loss
11/27/13,San Francisco,96,Sonoma St,73,Win
11/27/13,Sonoma St,73,San Francisco,96,Loss
11/27/13,New Mexico St,91,Prairie View,60,Win
11/27/13,Prairie View,60,New Mexico St,91,Loss
11/27/13,Wright St,73,Alcorn St,55,Win
11/27/13,Alcorn St,55,Wright St,73,Loss
11/27/13,Winthrop,69,James Madison,57,Win
11/27/13,James Madison,57,Winthrop,69,Loss
11/27/13,Bryant,70,Brown,67,Win
11/27/13,Brown,67,Bryant,70,Loss
11/27/13,IPFW,71,E Illinois,65,Win
11/27/13,E Illinois,65,IPFW,71,Loss
11/27/13,UAB,85,Florida A&M,73,Win
11/27/13,Florida A&M,73,UAB,85,Loss
11/28/13,San Diego St,72,Col Charleston,52,Win
11/28/13,Col Charleston,52,San Diego St,72,Loss
11/28/13,LSU,82,St Joseph's PA,65,Win
11/28/13,St Joseph's PA,65,LSU,82,Loss
11/28/13,Iowa,77,Xavier,74,Win
11/28/13,Xavier,74,Iowa,77,Loss
11/28/13,UCLA,105,Nevada,84,Win
11/28/13,Nevada,84,UCLA,105,Loss
11/28/13,UTEP,78,Tennessee,70,Win
11/28/13,Tennessee,70,UTEP,78,Loss
11/28/13,Creighton,88,Arizona St,60,Win
11/28/13,Arizona St,60,Creighton,88,Loss
11/28/13,Harvard,68,Denver,60,Win
11/28/13,Denver,60,Harvard,68,Loss
11/28/13,WI Green Bay,97,Pepperdine,89,Win
11/28/13,Pepperdine,89,WI Green Bay,97,Loss
11/28/13,Missouri,78,Northwestern,67,Win
11/28/13,Northwestern,67,Missouri,78,Loss
11/28/13,G Washington,71,Miami FL,63,Win
11/28/13,Miami FL,63,G Washington,71,Loss
11/28/13,Butler,76,Washington St,69,Win
11/28/13,Washington St,69,Butler,76,Loss
11/28/13,Oklahoma St,97,Purdue,87,Win
11/28/13,Purdue,87,Oklahoma St,97,Loss
11/28/13,Villanova,94,USC,79,Win
11/28/13,USC,79,Villanova,94,Loss
11/28/13,Gardner Webb,61,IUPUI,54,Win
11/28/13,IUPUI,54,Gardner Webb,61,Loss
11/28/13,Morehead St,88,Chattanooga,75,Win
11/28/13,Chattanooga,75,Morehead St,88,Loss
11/28/13,Memphis,87,Siena,60,Win
11/28/13,Siena,60,Memphis,87,Loss
11/28/13,Kansas,87,Wake Forest,78,Win
11/28/13,Wake Forest,78,Kansas,87,Loss
11/28/13,Marquette,86,CS Fullerton,66,Win
11/28/13,CS Fullerton,66,Marquette,86,Loss
11/29/13,UCLA,95,Northwestern,79,Win
11/29/13,Northwestern,79,UCLA,95,Loss
11/29/13,Hawaii,72,Montana,61,Win
11/29/13,Montana,61,Hawaii,72,Loss
11/29/13,N Dakota St,91,Santa Clara,85,Win
11/29/13,Santa Clara,85,N Dakota St,91,Loss
11/29/13,Illinois St,75,Sonoma St,58,Win
11/29/13,Sonoma St,58,Illinois St,75,Loss
11/29/13,Tennessee,64,Xavier,49,Win
11/29/13,Xavier,49,Tennessee,64,Loss
11/29/13,Oklahoma St,69,Butler,67,Win
11/29/13,Butler,67,Oklahoma St,69,Loss
11/29/13,Towson,84,Citadel,59,Win
11/29/13,Citadel,59,Towson,84,Loss
11/29/13,Washington St,69,Purdue,54,Win
11/29/13,Purdue,54,Washington St,69,Loss
11/29/13,Santa Barbara,83,S Dakota St,64,Win
11/29/13,S Dakota St,64,Santa Barbara,83,Loss
11/29/13,Missouri,83,Nevada,70,Win
11/29/13,Nevada,70,Missouri,83,Loss
11/29/13,Rider,97,Rice,93,Win
11/29/13,Rice,93,Rider,97,Loss
11/29/13,Texas Tech,94,UT San Antonio,64,Win
11/29/13,UT San Antonio,64,Texas Tech,94,Loss
11/29/13,Mercer,117,Valparaiso,108,Win
11/29/13,Valparaiso,108,Mercer,117,Loss
11/29/13,E Washington,82,Seattle,75,Win
11/29/13,Seattle,75,E Washington,82,Loss
11/29/13,Missouri St,73,Texas A&M,67,Win
11/29/13,Texas A&M,67,Missouri St,73,Loss
11/29/13,Grand Canyon,91,San Diego Chr,61,Win
11/29/13,San Diego Chr,61,Grand Canyon,91,Loss
11/29/13,San Francisco,72,Vermont,61,Win
11/29/13,Vermont,61,San Francisco,72,Loss
11/29/13,TCU,72,Tulsa,65,Win
11/29/13,Tulsa,65,TCU,72,Loss
11/29/13,Villanova,63,Kansas,59,Win
11/29/13,Kansas,59,Villanova,63,Loss
11/29/13,Iowa,89,UTEP,53,Win
11/29/13,UTEP,53,Iowa,89,Loss
11/29/13,St Joseph's PA,78,Siena,66,Win
11/29/13,Siena,66,St Joseph's PA,78,Loss
11/29/13,Arizona St,80,Col Charleston,58,Win
11/29/13,Col Charleston,58,Arizona St,80,Loss
11/29/13,Miami FL,48,CS Fullerton,46,Win
11/29/13,CS Fullerton,46,Miami FL,48,Loss
11/29/13,San Diego St,86,Creighton,80,Win
11/29/13,Creighton,80,San Diego St,86,Loss
11/29/13,Harvard,76,WI Green Bay,64,Win
11/29/13,WI Green Bay,64,Harvard,76,Loss
11/29/13,Gardner Webb,86,Morehead St,82,Win
11/29/13,Morehead St,82,Gardner Webb,86,Loss
11/29/13,Wake Forest,77,USC,63,Win
11/29/13,USC,63,Wake Forest,77,Loss
11/29/13,Marquette,76,G Washington,60,Win
11/29/13,G Washington,60,Marquette,76,Loss
11/29/13,Chattanooga,87,IUPUI,76,Win
11/29/13,IUPUI,76,Chattanooga,87,Loss
11/29/13,Drexel,85,Alabama,83,Win
11/29/13,Alabama,83,Drexel,85,Loss
11/29/13,Pepperdine,68,Denver,56,Win
11/29/13,Denver,56,Pepperdine,68,Loss
11/29/13,Arizona,72,Duke,66,Win
11/29/13,Duke,66,Arizona,72,Loss
11/29/13,Indiana St,97,AK Anchorage,87,Win
11/29/13,AK Anchorage,87,Indiana St,97,Loss
11/29/13,Memphis,76,LSU,69,Win
11/29/13,LSU,69,Memphis,76,Loss
11/29/13,Texas St,70,Tulane,52,Win
11/29/13,Tulane,52,Texas St,70,Loss
11/29/13,Boise St,76,Portland St,60,Win
11/29/13,Portland St,60,Boise St,76,Loss
11/29/13,SE Missouri St,79,N Kentucky,65,Win
11/29/13,N Kentucky,65,SE Missouri St,79,Loss
11/29/13,Michigan St,98,Mt St Mary's,65,Win
11/29/13,Mt St Mary's,65,Michigan St,98,Loss
11/29/13,Oklahoma,101,Ark Little Rock,81,Win
11/29/13,Ark Little Rock,81,Oklahoma,101,Loss
11/29/13,Drake,84,Fresno St,74,Win
11/29/13,Fresno St,74,Drake,84,Loss
11/29/13,Liberty,70,Hampton,53,Win
11/29/13,Hampton,53,Liberty,70,Loss
11/29/13,Michigan,87,Coppin St,45,Win
11/29/13,Coppin St,45,Michigan,87,Loss
11/29/13,Providence,78,Fairfield,69,Win
11/29/13,Fairfield,69,Providence,78,Loss
11/29/13,Georgia,71,Appalachian St,53,Win
11/29/13,Appalachian St,53,Georgia,71,Loss
11/29/13,Maryland,89,Morgan St,62,Win
11/29/13,Morgan St,62,Maryland,89,Loss
11/29/13,West Alabama,77,Abilene Chr,67,Win
11/29/13,Abilene Chr,67,West Alabama,77,Loss
11/29/13,Mississippi,77,Georgia Tech,67,Win
11/29/13,Georgia Tech,67,Mississippi,77,Loss
11/29/13,Penn St,89,St John's,82,Win
11/29/13,St John's,82,Penn St,89,Loss
11/29/13,VA Commonwealth,79,Northeastern,66,Win
11/29/13,Northeastern,66,VA Commonwealth,79,Loss
11/29/13,Virginia Tech,81,Radford,56,Win
11/29/13,Radford,56,Virginia Tech,81,Loss
11/29/13,Cincinnati,95,Kennesaw,67,Win
11/29/13,Kennesaw,67,Cincinnati,95,Loss
11/29/13,Virginia,76,SMU,73,Win
11/29/13,SMU,73,Virginia,76,Loss
11/29/13,CS Bakersfield,61,Northern Arizona,50,Win
11/29/13,Northern Arizona,50,CS Bakersfield,61,Loss
11/29/13,W Michigan,83,Cornell,70,Win
11/29/13,Cornell,70,W Michigan,83,Loss
11/29/13,Florida,67,Florida St,66,Win
11/29/13,Florida St,66,Florida,67,Loss
11/29/13,Prairie View,89,Bethune-Cookman,80,Win
11/29/13,Bethune-Cookman,80,Prairie View,89,Loss
11/29/13,Samford,79,Campbellsville,68,Win
11/29/13,Campbellsville,68,Samford,79,Loss
11/29/13,Texas,72,UT Arlington,69,Win
11/29/13,UT Arlington,69,Texas,72,Loss
11/29/13,Illinois,57,IPFW,55,Win
11/29/13,IPFW,55,Illinois,57,Loss
11/29/13,Monmouth NJ,81,MS Valley St,79,Win
11/29/13,MS Valley St,79,Monmouth NJ,81,Loss
11/29/13,Sam Houston St,75,Ark Pine Bluff,49,Win
11/29/13,Ark Pine Bluff,49,Sam Houston St,75,Loss
11/29/13,Ohio St,99,North Florida,64,Win
11/29/13,North Florida,64,Ohio St,99,Loss
11/29/13,Oregon,85,Pacific,62,Win
11/29/13,Pacific,62,Oregon,85,Loss
11/29/13,NC A&T,85,Longwood,78,Win
11/29/13,Longwood,78,NC A&T,85,Loss
11/29/13,Clemson,69,Coastal Car,40,Win
11/29/13,Coastal Car,40,Clemson,69,Loss
11/29/13,SF Austin,60,UNC Wilmington,55,Win
11/29/13,UNC Wilmington,55,SF Austin,60,Loss
11/29/13,Cal Poly SLO,70,North Dakota,43,Win
11/29/13,North Dakota,43,Cal Poly SLO,70,Loss
11/29/13,Louisville,69,Southern Miss,38,Win
11/29/13,Southern Miss,38,Louisville,69,Loss
11/30/13,W Kentucky,68,E Illinois,53,Win
11/30/13,E Illinois,53,W Kentucky,68,Loss
11/30/13,Vermont,73,Sonoma St,61,Win
11/30/13,Sonoma St,61,Vermont,73,Loss
11/30/13,W Illinois,76,Greenville,49,Win
11/30/13,Greenville,49,W Illinois,76,Loss
11/30/13,Houston,78,TAM C. Christi,67,Win
11/30/13,TAM C. Christi,67,Houston,78,Loss
11/30/13,North Texas,75,SE Louisiana,61,Win
11/30/13,SE Louisiana,61,North Texas,75,Loss
11/30/13,Weber St,72,San Jose St,55,Win
11/30/13,San Jose St,55,Weber St,72,Loss
11/30/13,UC Irvine,79,CS Sacramento,53,Win
11/30/13,CS Sacramento,53,UC Irvine,79,Loss
11/30/13,Illinois St,90,San Francisco,76,Win
11/30/13,San Francisco,76,Illinois St,90,Loss
11/30/13,St Mary's CA,89,Murray St,64,Win
11/30/13,Murray St,64,St Mary's CA,89,Loss
11/30/13,N Colorado,65,Bethune-Cookman,60,Win
11/30/13,Bethune-Cookman,60,N Colorado,65,Loss
11/30/13,Fresno St,96,CS Bakersfield,86,Win
11/30/13,CS Bakersfield,86,Fresno St,96,Loss
11/30/13,Colorado St,85,New Mexico St,83,Win
11/30/13,New Mexico St,83,Colorado St,85,Loss
11/30/13,Richmond,68,James Madison,53,Win
11/30/13,James Madison,53,Richmond,68,Loss
11/30/13,Florida Intl,61,Georgia St,60,Win
11/30/13,Georgia St,60,Florida Intl,61,Loss
11/30/13,Northwestern LA,107,Niagara,100,Win
11/30/13,Niagara,100,Northwestern LA,107,Loss
11/30/13,Idaho,80,UC Davis,76,Win
11/30/13,UC Davis,76,Idaho,80,Loss
11/30/13,Yale,54,Hartford,49,Win
11/30/13,Hartford,49,Yale,54,Loss
11/30/13,Austin Peay,88,Youngstown St,86,Win
11/30/13,Youngstown St,86,Austin Peay,88,Loss
11/30/13,Bradley,74,TX Pan American,54,Win
11/30/13,TX Pan American,54,Bradley,74,Loss
11/30/13,Arkansas St,95,Lamar,89,Win
11/30/13,Lamar,89,Arkansas St,95,Loss
11/30/13,Campbell,75,Ga Southern,73,Win
11/30/13,Ga Southern,73,Campbell,75,Loss
11/30/13,Cleveland St,78,Ball St,55,Win
11/30/13,Ball St,55,Cleveland St,78,Loss
11/30/13,Kansas,67,UTEP,63,Win
11/30/13,UTEP,63,Kansas,67,Loss
11/30/13,Monmouth NJ,76,NC A&T,61,Win
11/30/13,NC A&T,61,Monmouth NJ,76,Loss
11/30/13,SMU,55,Texas A&M,52,Win
11/30/13,Texas A&M,52,SMU,55,Loss
11/30/13,Indiana St,73,Pepperdine,70,Win
11/30/13,Pepperdine,70,Indiana St,73,Loss
11/30/13,Oakland,86,Rochester MI,51,Win
11/30/13,Rochester MI,51,Oakland,86,Loss
11/30/13,Rice,67,Santa Clara,66,Win
11/30/13,Santa Clara,66,Rice,67,Loss
11/30/13,N Dakota St,87,Rider,70,Win
11/30/13,Rider,70,N Dakota St,87,Loss
11/30/13,Harvard,71,TCU,50,Win
11/30/13,TCU,50,Harvard,71,Loss
11/30/13,WI Green Bay,67,Tulsa,59,Win
11/30/13,Tulsa,59,WI Green Bay,67,Loss
11/30/13,Virginia,83,Missouri St,63,Win
11/30/13,Missouri St,63,Virginia,83,Loss
11/30/13,Villanova,88,Iowa,83,Win
11/30/13,Iowa,83,Villanova,88,Loss
11/30/13,USC,84,Xavier,78,Win
11/30/13,Xavier,78,USC,84,Loss
11/30/13,Hampton,72,Ark Pine Bluff,65,Win
11/30/13,Ark Pine Bluff,65,Hampton,72,Loss
11/30/13,South Dakota,112,Graceland,85,Win
11/30/13,Graceland,85,South Dakota,112,Loss
11/30/13,Towson,74,Abilene Chr,47,Win
11/30/13,Abilene Chr,47,Towson,74,Loss
11/30/13,West Alabama,90,Citadel,77,Win
11/30/13,Citadel,77,West Alabama,90,Loss
11/30/13,St John's,69,Georgia Tech,58,Win
11/30/13,Georgia Tech,58,St John's,69,Loss
11/30/13,Mississippi,79,Penn St,76,Win
11/30/13,Penn St,76,Mississippi,79,Loss
11/30/13,MS Valley St,90,Longwood,89,Win
11/30/13,Longwood,89,MS Valley St,90,Loss
11/30/13,Denver,78,AK Anchorage,71,Win
11/30/13,AK Anchorage,71,Denver,78,Loss
11/30/13,Tennessee,82,Wake Forest,63,Win
11/30/13,Wake Forest,63,Tennessee,82,Loss
11/30/13,Liberty,62,Sam Houston St,58,Win
11/30/13,Sam Houston St,58,Liberty,62,Loss
11/30/13,Manhattan,66,Hofstra,59,Win
11/30/13,Hofstra,59,Manhattan,66,Loss
11/30/13,Boston Univ,66,St Peter's,65,Win
11/30/13,St Peter's,65,Boston Univ,66,Loss
11/30/13,WI Milwaukee,84,Missouri KC,79,Win
11/30/13,Missouri KC,79,WI Milwaukee,84,Loss
11/30/13,Texas St,70,N Kentucky,61,Win
11/30/13,N Kentucky,61,Texas St,70,Loss
11/30/13,Wofford,90,J&W NC,48,Win
11/30/13,J&W NC,48,Wofford,90,Loss
11/30/13,Davidson,86,Stetson,80,Win
11/30/13,Stetson,80,Davidson,86,Loss
11/30/13,Nebraska,63,N Illinois,58,Win
11/30/13,N Illinois,58,Nebraska,63,Loss
11/30/13,Middle Tenn St,65,South Alabama,55,Win
11/30/13,South Alabama,55,Middle Tenn St,65,Loss
11/30/13,Tennessee Tech,74,Utah Valley,71,Win
11/30/13,Utah Valley,71,Tennessee Tech,74,Loss
11/30/13,Houston Bap,74,Army,72,Win
11/30/13,Army,72,Houston Bap,74,Loss
11/30/13,Holy Cross,63,New Hampshire,52,Win
11/30/13,New Hampshire,52,Holy Cross,63,Loss
11/30/13,Pittsburgh,84,Duquesne,67,Win
11/30/13,Duquesne,67,Pittsburgh,84,Loss
11/30/13,Detroit,65,South Florida,60,Win
11/30/13,South Florida,60,Detroit,65,Loss
11/30/13,NC State,75,E Kentucky,56,Win
11/30/13,E Kentucky,56,NC State,75,Loss
11/30/13,Delaware,86,Robert Morris,67,Win
11/30/13,Robert Morris,67,Delaware,86,Loss
11/30/13,Georgetown,70,Lipscomb,49,Win
11/30/13,Lipscomb,49,Georgetown,70,Loss
11/30/13,William & Mary,84,Howard,79,Win
11/30/13,Howard,79,William & Mary,84,Loss
11/30/13,Ohio,81,Evansville,59,Win
11/30/13,Evansville,59,Ohio,81,Loss
11/30/13,George Mason,61,Rhode Island,54,Win
11/30/13,Rhode Island,54,George Mason,61,Loss
11/30/13,American Univ,75,St Francis PA,43,Win
11/30/13,St Francis PA,43,American Univ,75,Loss
11/30/13,C Michigan,66,Jacksonville St,61,Win
11/30/13,Jacksonville St,61,C Michigan,66,Loss
11/30/13,Furman,89,Brevard,72,Win
11/30/13,Brevard,72,Furman,89,Loss
11/30/13,Princeton,66,Bucknell,53,Win
11/30/13,Bucknell,53,Princeton,66,Loss
11/30/13,Drake,76,Northern Arizona,56,Win
11/30/13,Northern Arizona,56,Drake,76,Loss
11/30/13,UNLV,85,TN Martin,55,Win
11/30/13,TN Martin,55,UNLV,85,Loss
11/30/13,Washington,92,Long Beach St,89,Win
11/30/13,Long Beach St,89,Washington,92,Loss
11/30/13,Pacific,73,Cal Poly SLO,71,Win
11/30/13,Cal Poly SLO,71,Pacific,73,Loss
11/30/13,New Mexico,73,San Diego,66,Win
11/30/13,San Diego,66,New Mexico,73,Loss
11/30/13,Oregon,91,North Dakota,76,Win
11/30/13,North Dakota,76,Oregon,91,Loss
11/30/13,Florida A&M,100,FL Memorial,82,Win
11/30/13,FL Memorial,82,Florida A&M,100,Loss
11/30/13,ETSU,88,Marshall,78,Win
11/30/13,Marshall,78,ETSU,88,Loss
11/30/13,Chicago St,88,S Illinois,84,Win
11/30/13,S Illinois,84,Chicago St,88,Loss
11/30/13,Wright St,85,W Carolina,77,Win
11/30/13,W Carolina,77,Wright St,85,Loss
11/30/13,Incarnate Word,75,Texas A&M Intl,56,Win
11/30/13,Texas A&M Intl,56,Incarnate Word,75,Loss
11/30/13,Brown,72,Central Conn,61,Win
11/30/13,Central Conn,61,Brown,72,Loss
11/30/13,BYU,85,Utah St,74,Win
11/30/13,Utah St,74,BYU,85,Loss
11/30/13,Bryant,82,Salve Regina,55,Win
11/30/13,Salve Regina,55,Bryant,82,Loss
11/30/13,SE Missouri St,102,Tulane,72,Win
11/30/13,Tulane,72,SE Missouri St,102,Loss
11/30/13,Valparaiso,94,Cincinnati Chr,58,Win
11/30/13,Cincinnati Chr,58,Valparaiso,94,Loss
11/30/13,Lafayette,79,Penn,76,Win
11/30/13,Penn,76,Lafayette,79,Loss
11/30/13,SC Upstate,73,Tennessee St,64,Win
11/30/13,Tennessee St,64,SC Upstate,73,Loss
11/30/13,NE Omaha,86,Iowa Wesleyan,36,Win
11/30/13,Iowa Wesleyan,36,NE Omaha,86,Loss
11/30/13,Wyoming,79,Montana St,54,Win
11/30/13,Montana St,54,Wyoming,79,Loss
11/30/13,Colorado,81,Air Force,57,Win
11/30/13,Air Force,57,Colorado,81,Loss
11/30/13,Buffalo,65,Delaware St,55,Win
11/30/13,Delaware St,55,Buffalo,65,Loss
12/1/13,UNC Wilmington,70,East Carolina,68,Win
12/1/13,East Carolina,68,UNC Wilmington,70,Loss
12/1/13,CS Northridge,97,La Sierra,79,Win
12/1/13,La Sierra,79,CS Northridge,97,Loss
12/1/13,Pacific,93,North Dakota,76,Win
