Date,Team,Opponent,Team Score,Opponent Score,Team Result
3/9/13,Mississippi,LSU,81,67,Win
3/9/13,LSU,Mississippi,67,81,Loss
3/9/13,Memphis,UAB,86,71,Win
3/9/13,UAB,Memphis,71,86,Loss
3/9/13,FL Gulf Coast,Mercer,88,75,Win
3/9/13,Mercer,FL Gulf Coast,75,88,Loss
3/9/13,Miami FL,Clemson,62,49,Win
3/9/13,Clemson,Miami FL,49,62,Loss
3/9/13,Mississippi St,Auburn,74,71,Win
3/9/13,Auburn,Mississippi St,71,74,Loss
3/9/13,Montana,Northern Arizona,63,50,Win
3/9/13,Northern Arizona,Montana,50,63,Loss
3/9/13,Montana St,CS Sacramento,71,55,Win
3/9/13,CS Sacramento,Montana St,55,71,Loss
3/9/13,New Mexico St,UT Arlington,69,66,Win
3/9/13,UT Arlington,New Mexico St,66,69,Loss
3/9/13,McNeese St,Nicholls St,91,88,Win
3/9/13,Nicholls St,McNeese St,88,91,Loss
3/9/13,Duke,North Carolina,69,53,Win
3/9/13,North Carolina,Duke,53,69,Loss
3/9/13,North Dakota,Southern Utah,68,61,Win
3/9/13,Southern Utah,North Dakota,61,68,Loss
3/9/13,Northwestern LA,Sam Houston St,84,73,Win
3/9/13,Sam Houston St,Northwestern LA,73,84,Loss
3/9/13,Ohio,Miami OH,58,54,Win
3/9/13,Miami OH,Ohio,54,58,Loss
3/9/13,Oklahoma St,Kansas St,76,70,Win
3/9/13,Kansas St,Oklahoma St,70,76,Loss
3/9/13,Pacific,Long Beach St,71,51,Win
3/9/13,Long Beach St,Pacific,51,71,Loss
3/9/13,Purdue,Minnesota,89,73,Win
3/9/13,Minnesota,Purdue,73,89,Loss
3/9/13,Massachusetts,Rhode Island,75,66,Win
3/9/13,Rhode Island,Massachusetts,66,75,Loss
3/9/13,Tulsa,Rice,77,71,Win
3/9/13,Rice,Tulsa,71,77,Loss
3/9/13,Richmond,Duquesne,79,55,Win
3/9/13,Duquesne,Richmond,55,79,Loss
3/9/13,Mt St Mary's,Robert Morris,69,60,Win
3/9/13,Robert Morris,Mt St Mary's,60,69,Loss
3/9/13,Texas St,San Jose St,90,67,Win
3/9/13,San Jose St,Texas St,67,90,Loss
3/9/13,Santa Barbara,UC Riverside,56,46,Win
3/9/13,UC Riverside,Santa Barbara,46,56,Loss
3/9/13,SE Louisiana,Lamar,86,72,Win
3/9/13,Lamar,SE Louisiana,72,86,Loss
3/9/13,SF Austin,TAM C. Christi,58,49,Win
3/9/13,TAM C. Christi,SF Austin,49,58,Loss
3/9/13,UTEP,SMU,76,63,Win
3/9/13,SMU,UTEP,63,76,Loss
3/9/13,Southern Miss,UCF,70,62,Win
3/9/13,UCF,Southern Miss,62,70,Loss
3/9/13,Fordham,St Bonaventure,76,72,Win
3/9/13,St Bonaventure,Fordham,72,76,Loss
3/9/13,Marquette,St John's,69,67,Win
3/9/13,St John's,Marquette,67,69,Loss
3/9/13,St Louis,La Salle,78,54,Win
3/9/13,La Salle,St Louis,54,78,Loss
3/9/13,TCU,Oklahoma,70,67,Win
3/9/13,Oklahoma,TCU,67,70,Loss
3/9/13,Tennessee,Missouri,64,62,Win
3/9/13,Missouri,Tennessee,62,64,Loss
3/9/13,Texas,Texas Tech,71,69,Win
3/9/13,Texas Tech,Texas,69,71,Loss
3/9/13,Houston,Tulane,96,94,Win
3/9/13,Tulane,Houston,94,96,Loss
3/9/13,TX Pan American,NJIT,76,59,Win
3/9/13,NJIT,TX Pan American,59,76,Loss
3/9/13,UC Irvine,UC Davis,88,85,Win
3/9/13,UC Davis,UC Irvine,85,88,Loss
3/9/13,Fresno St,UNLV,61,52,Win
3/9/13,UNLV,Fresno St,52,61,Loss
3/9/13,Utah,Oregon,72,62,Win
3/9/13,Oregon,Utah,62,72,Loss
3/9/13,Utah St,UT San Antonio,71,51,Win
3/9/13,UT San Antonio,Utah St,51,71,Loss
3/9/13,CS Bakersfield,Utah Valley,73,58,Win
3/9/13,Utah Valley,CS Bakersfield,58,73,Loss
3/9/13,Valparaiso,WI Green Bay,70,69,Win
3/9/13,WI Green Bay,Valparaiso,69,70,Loss
3/9/13,Vanderbilt,South Carolina,74,64,Win
3/9/13,South Carolina,Vanderbilt,64,74,Loss
3/9/13,W Michigan,C Michigan,71,68,Win
3/9/13,C Michigan,W Michigan,68,71,Loss
3/9/13,Long Island,Wagner,94,82,Win
3/9/13,Wagner,Long Island,82,94,Loss
3/9/13,UCLA,Washington,61,54,Win
3/9/13,Washington,UCLA,54,61,Loss
3/9/13,Washington St,USC,76,51,Win
3/9/13,USC,Washington St,51,76,Loss
3/9/13,Weber St,E Washington,65,57,Win
